doc,our_query_id,label
doc_2234,Q1,1
doc_2656,Q1,1
doc_3709,Q1,1
doc_592,Q1,1
doc_3556,Q1,1
doc_2586,Q1,1
doc_2701,Q1,1
doc_3478,Q1,1
doc_2956,Q1,1
doc_3552,Q1,1
doc_1336,Q1,0
doc_2295,Q1,0
doc_2176,Q1,0
doc_2488,Q1,0
doc_1669,Q1,0
doc_1953,Q1,0
doc_1641,Q1,0
doc_637,Q1,0
doc_885,Q1,0
doc_174,Q1,0
doc_1452,Q2,1
doc_2908,Q2,1
doc_618,Q2,1
doc_2677,Q2,1
doc_489,Q2,1
doc_110,Q2,1
doc_3439,Q2,1
doc_3137,Q2,1
doc_3913,Q2,1
doc_2696,Q2,1
doc_1933,Q2,0
doc_3326,Q2,0
doc_1095,Q2,0
doc_2164,Q2,0
doc_3146,Q2,0
doc_3297,Q2,0
doc_243,Q2,0
doc_477,Q2,0
doc_2457,Q2,0
doc_3967,Q2,0
doc_2052,Q3,1
doc_164,Q3,1
doc_411,Q3,1
doc_1805,Q3,1
doc_3442,Q3,1
doc_2657,Q3,1
doc_1534,Q3,1
doc_383,Q3,1
doc_1618,Q3,1
doc_63,Q3,1
doc_3803,Q3,0
doc_1069,Q3,0
doc_2852,Q3,0
doc_3445,Q3,0
doc_421,Q3,0
doc_3478,Q3,0
doc_3705,Q3,0
doc_3422,Q3,0
doc_650,Q3,0
doc_2442,Q3,0
doc_1,Q4,1
doc_240,Q4,1
doc_666,Q4,1
doc_1495,Q4,1
doc_1766,Q4,1
doc_1862,Q4,1
doc_1941,Q4,1
doc_2674,Q4,1
doc_2963,Q4,1
doc_3213,Q4,1
doc_3661,Q4,0
doc_244,Q4,0
doc_1504,Q4,0
doc_1565,Q4,0
doc_1567,Q4,0
doc_3057,Q4,0
doc_3070,Q4,0
doc_3175,Q4,0
doc_3576,Q4,0
doc_1031,Q4,0
doc_3727,Q5,1
doc_3732,Q5,1
doc_3570,Q5,1
doc_70,Q5,1
doc_2954,Q5,1
doc_3129,Q5,1
doc_3269,Q5,1
doc_3383,Q5,1
doc_3402,Q5,1
doc_1094,Q5,1
doc_1113,Q5,0
doc_1198,Q5,0
doc_1226,Q5,0
doc_1250,Q5,0
doc_2270,Q5,0
doc_2293,Q5,0
doc_2397,Q5,0
doc_2893,Q5,0
doc_3699,Q5,0
doc_3806,Q5,0
doc_19,Q6,1
doc_214,Q6,1
doc_366,Q6,1
doc_731,Q6,1
doc_908,Q6,1
doc_921,Q6,1
doc_1144,Q6,1
doc_1174,Q6,1
doc_1216,Q6,1
doc_1218,Q6,1
doc_1770,Q6,0
doc_1784,Q6,0
doc_40,Q6,0
doc_53,Q6,0
doc_3133,Q6,0
doc_3380,Q6,0
doc_3384,Q6,0
doc_3895,Q6,0
doc_3885,Q6,0
doc_1247,Q6,0
doc_214,Q7,1
doc_1100,Q7,1
doc_1713,Q7,1
doc_2844,Q7,1
doc_67,Q7,1
doc_407,Q7,1
doc_780,Q7,1
doc_860,Q7,1
doc_879,Q7,1
doc_908,Q7,1
doc_1098,Q7,0
doc_1102,Q7,0
doc_1229,Q7,0
doc_1236,Q7,0
doc_2755,Q7,0
doc_2759,Q7,0
doc_3219,Q7,0
doc_3246,Q7,0
doc_3884,Q7,0
doc_1603,Q7,0
doc_1578,Q8,1
doc_1690,Q8,1
doc_1829,Q8,1
doc_2013,Q8,1
doc_2030,Q8,1
doc_2042,Q8,1
doc_2043,Q8,1
doc_2059,Q8,1
doc_2069,Q8,1
doc_2070,Q8,1
doc_1598,Q8,0
doc_1615,Q8,0
doc_1637,Q8,0
doc_2495,Q8,0
doc_2488,Q8,0
doc_2501,Q8,0
doc_2940,Q8,0
doc_3134,Q8,0
doc_3150,Q8,0
doc_3369,Q8,0